                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.8853,                 4.9301,                 2.1347,                0.03902,                0.08791,                0.01623,                0.00434,                 2.6347,                 3.4942,                 2.0805,               0.070833,              0.0032407,              0.0032407
                      2,                 2.4234,                 2.8977,                 1.7283,                0.12577,                0.12088,                0.07363,                  0.024,                  2.544,                 3.0896,                 1.9212,               0.040768,               0.006509,               0.006509
                      3,                 2.3275,                 2.9119,                 1.6442,                0.00949,                0.35165,                0.02072,                0.00713,                 2.6922,                 3.8777,                 1.9894,               0.010637,              0.0097112,              0.0097112
                      4,                 2.3324,                 2.9408,                 1.6751,                0.56971,                0.04396,                0.10058,                0.03709,                 2.7405,                 3.7698,                 1.8847,               0.009703,               0.009703,               0.009703
                      5,                 2.3091,                  2.421,                 1.6234,                0.18819,                0.12088,                0.08299,                0.02128,                 2.8614,                 3.5527,                 2.0408,               0.009604,               0.009604,               0.009604
                      6,                 2.2616,                 2.3634,                 1.5555,                0.20437,                0.18681,                0.13529,                0.05354,                 2.3603,                  2.837,                 1.6637,               0.009505,               0.009505,               0.009505
                      7,                 2.2338,                 2.4005,                 1.5874,                0.20534,                0.18459,                 0.1061,                0.03523,                 2.5538,                 3.4305,                 1.8491,               0.009406,               0.009406,               0.009406
                      8,                  2.241,                 2.1242,                 1.5418,                0.48141,                0.26374,                0.27888,                0.10077,                  2.416,                 2.4846,                 1.7697,               0.009307,               0.009307,               0.009307
                      9,                 2.1898,                 2.0365,                 1.5774,                0.24539,                0.20879,                0.12055,                0.03942,                  2.531,                 4.4302,                 1.8686,               0.009208,               0.009208,               0.009208
                     10,                 2.0944,                 1.8982,                 1.5232,                0.30115,                0.34066,                0.24696,                0.08183,                 2.3706,                 2.5947,                  1.716,               0.009109,               0.009109,               0.009109
